Sentence,Error Type,Corrected Sentence
நான் தினமும் ஐந்து மணிக்கு எழுந்திருக்கிறேன்.,Habitual Error,நான் தினமும் ஐந்து மணிக்கு எழுந்திருப்பேன்.
நாங்கள் கால்பந்து தினமும் விளையாடுகிறோம்.,Habitual Error,நாங்கள் தினமும் கால்பந்து விளையாடுவோம்.
நீ தினமும் தேநீர் குடித்தாய்.,Habitual Error,நீ தினமும் தேநீர் குடிப்பாய்.
அவள் தினமும் பாட்டு பாடுகிறாள்.,Habitual Error,அவள் தினமும் பாட்டு பாடுவாள்.
நாம் மாலை ஒவ்வொருநாளும் சந்திக்கிறோம்.,Habitual Error,நாம் மாலை ஒவ்வொருநாளும் சந்திப்போம்.
அவன் தினமும் தேநீர் குடிக்கிறான்.,Habitual Error,அவன் தினமும் தேநீர் குடிப்பான்.
அவன் எப்போதும் புன்னகைத்தான்.,Habitual Error,அவன் எப்போதும் புன்னகைப்பான்.
அவர்கள் தினமும் பாடத்தை படிக்கிறார்கள்.,Habitual Case,அவர்கள் தினமும் பாடத்தை படிப்பார்கள்.
நான் தினமும் கால்பந்து விளையாடுகிறேன்.,Habitual Case,நான் தினமும் கால்பந்து விளையாடுவேன்.
நான் தினமும் புத்தகம் படித்தேன்.,Habitual Error,நான் தினமும் புத்தகம் படிப்பேன்.
அவன் தினமும் நடைப்பயிற்சி செய்தான்.,Habitual Error,அவன் தினமும் நடைப்பயிற்சி செய்வான்.
அவர்கள் தினமும் பரீட்சைக்கு தயாராகிறார்கள்.,Habitual Error,அவர்கள் தினமும் பரீட்சைக்கு தயாராகுவார்கள்.
நீ தினமும் உழுதாய்.,Habitual Error,நீ தினமும் உழுவாய்.
நாங்கள் தினமும் விளையாட்டுக்கு சென்றோம்.,Habitual Error,நாங்கள் தினமும் விளையாட்டுக்கு செல்வோம்.
அவள் ஒவ்வொருநாளும் புத்தகங்கள் வாங்கினாள்.,Habitual Error,அவள் ஒவ்வொருநாளும் புத்தகங்கள் வாங்குவாள்.
