Sentence,Error Type,Corrected Sentence
பார்வதி பாடத்தை சாப்பிடுகிறாள்.,Verb Tense,பார்வதி பாடத்தை படிக்கிறான்.
அவள் பந்து விளையாடுகிறான்.,Verb Tense,அவள் பந்து படிக்கிறாள்.
நாம் பள்ளிக்கு படிக்கிறார்கள்.,Verb Tense,நாம் பள்ளிக்கு படிக்கிறாள்.
அவள் புத்தகத்தை படிக்கிறார்கள்.,Verb Tense,அவள் புத்தகத்தை படிக்கிறாள்.
பார்வதி பள்ளிக்கு படிக்கிறார்கள்.,Verb Tense,பார்வதி பள்ளிக்கு படிக்கிறான்.
நாம் பழத்தை சாப்பிடுகிறாள்.,Verb Tense,நாம் பழத்தை படிக்கிறான்.
அவன் பாடத்தை சாப்பிடுவாள்.,Verb Tense,அவன் பாடத்தை செல்வேன்.
அவர்கள் வீட்டில் விளையாடுகிறான்.,Verb Tense,அவர்கள் வீட்டில் செல்வேன்.
நாம் வீட்டில் சாப்பிடுகிறாள்.,Verb Tense,நாம் வீட்டில் படிக்கிறான்.
பார்வதி பள்ளிக்கு சாப்பிடுகிறாள்.,Verb Tense,பார்வதி பள்ளிக்கு விளையாடுகிறோம்.
பார்வதி பழத்தை சாப்பிடுகிறாள்.,Verb Tense,பார்வதி பழத்தை படிக்கிறாள்.
பார்வதி பாடத்தை விளையாடுகிறான்.,Verb Tense,பார்வதி பாடத்தை செல்வேன்.
நான் பாடத்தை சாப்பிடுவாள்.,Verb Tense,நான் பாடத்தை படிக்கிறான்.
பார்வதி பந்து செல்கிறான்.,Verb Tense,பார்வதி பந்து படிக்கிறான்.
நாம் பழத்தை சாப்பிடுகிறாள்.,Verb Tense,நாம் பழத்தை படிக்கிறான்.
பார்வதி புத்தகத்தை சாப்பிடுவாள்.,Verb Tense,பார்வதி புத்தகத்தை சாப்பிடுகிறான்.
அவர்கள் பாடத்தை சாப்பிடுவாள்.,Verb Tense,அவர்கள் பாடத்தை விளையாடுகிறோம்.
